star,Teff,logg,FeH,e_FeH,Na,Mg,Al,Si,Ca,Ti,Cr,Ni,Y,Zr,La,Ce,Nd,sFe,hsls,Mass_dC16,logL
CD-422048,4400.0,1.6,-0.23,0.16,0.44,0.28,0.37,0.36,0.26,0.18,,0.05,0.95,0.96,1.56,1.12,1.22,1.16,0.34,3.0,2.85
CD-463977,4900.0,2.6,-0.1,0.15,0.03,0.06,0.01,0.15,0.07,-0.01,0.02,-0.02,0.74,0.61,0.76,0.64,0.61,0.67,0.01,3.0,2.05
CD-538144,4800.0,2.3,-0.19,0.15,0.16,0.17,0.17,0.11,0.08,0.08,-0.09,0.06,0.83,0.8,1.51,0.97,1.0,1.02,0.34,2.0,2.11
CD-611941,4800.0,2.4,-0.2,0.14,0.06,0.08,0.08,0.18,0.04,0.01,-0.02,0.01,0.73,0.68,1.56,1.15,1.08,1.04,0.56,2.0,2.02
CPD-621013,5100.0,2.6,-0.08,0.14,0.04,-0.2,0.15,0.1,0.01,-0.01,-0.01,-0.05,0.72,0.72,0.97,1.11,0.74,0.85,0.22,3.0,2.1
CPD-644333,4900.0,2.6,-0.1,0.18,0.16,0.12,0.3,0.09,0.27,-0.02,0.09,-0.03,1.13,1.12,2.52,1.41,1.41,1.52,0.65,3.0,2.01
HD102762,4400.0,1.7,-0.17,0.2,0.19,0.46,0.12,0.22,0.02,0.08,-0.06,0.0,0.85,0.86,1.99,1.23,1.3,1.25,0.65,2.0,2.57
HD105902,4700.0,2.4,-0.18,0.17,0.33,0.37,0.41,0.19,0.21,0.22,0.01,0.06,1.13,1.09,2.4,1.26,1.28,1.43,0.54,1.5,1.86
HD107264,4500.0,1.5,-0.19,0.17,0.47,0.05,0.19,0.17,0.27,0.09,-0.01,-0.03,0.6,0.89,1.7,1.05,0.93,1.03,0.48,4.0,3.1
HD107270,5400.0,2.7,0.05,0.17,0.33,0.26,0.01,0.07,-0.02,-0.02,0.04,0.1,0.64,0.73,0.42,0.28,0.25,0.46,-0.37,3.0,2.09
HD107541,5000.0,3.2,-0.63,0.11,0.21,0.44,0.39,0.44,0.28,0.36,0.15,0.11,1.53,1.35,2.52,1.87,1.83,1.82,0.63,1.0,1.0
HD109061,4700.0,2.0,-0.56,0.09,0.17,0.49,0.36,0.33,0.27,0.1,-0.01,0.08,0.68,0.44,0.8,0.77,0.67,0.67,0.19,2.0,2.38
HD110483,4900.0,2.6,-0.04,0.14,0.12,0.2,-0.01,0.09,0.19,0.09,-0.01,0.04,0.84,0.73,1.58,1.05,0.89,1.02,0.39,3.0,2.03
HD110591,4700.0,1.8,-0.56,0.12,0.21,0.4,0.24,0.35,0.28,0.01,-0.04,0.09,0.54,0.28,0.97,0.89,0.72,0.68,0.45,2.0,2.58
HD111315,4900.0,2.0,0.04,0.09,0.34,0.25,0.0,0.11,0.11,-0.06,-0.05,-0.02,0.65,0.29,0.81,0.59,0.46,0.56,0.15,4.0,2.76
HD113195,4700.0,2.1,-0.15,0.12,0.18,0.2,0.18,0.26,0.22,0.05,-0.01,0.06,0.66,0.48,0.56,0.52,0.33,0.51,-0.1,3.0,2.45
HD113291,4700.0,2.6,-0.02,0.16,0.22,-0.02,-0.04,0.09,0.03,-0.06,-0.04,-0.02,1.25,0.83,1.77,1.01,0.95,1.16,0.2,2.5,1.88
HD114678,5200.0,2.8,-0.5,0.13,0.55,0.18,0.28,0.23,0.27,0.03,0.06,0.02,1.06,1.01,1.57,1.37,1.25,1.25,0.36,3.0,1.93
HD115277,4800.0,2.4,-0.03,0.15,0.03,-0.07,0.01,0.12,0.01,0.0,0.01,0.06,0.59,0.45,0.32,0.36,0.19,0.38,-0.23,3.0,2.19
HD116869,4800.0,2.3,-0.36,0.12,0.2,0.31,0.24,0.3,0.24,0.1,0.02,0.1,0.69,0.46,1.12,1.05,0.91,0.85,0.45,2.0,2.11
HD119185,4800.0,2.0,-0.43,0.1,0.34,0.35,0.15,0.24,0.2,0.01,0.0,0.08,0.3,0.21,0.54,0.6,0.44,0.42,0.27,4.0,2.71
HD119650,4500.0,1.6,-0.1,0.13,0.05,-0.12,0.0,0.21,0.03,-0.13,-0.01,-0.01,0.41,0.17,0.31,0.27,0.25,0.28,-0.01,5.0,3.1
HD120571,4600.0,1.7,-0.39,0.09,0.06,0.09,0.13,0.26,0.22,-0.02,-0.02,0.05,0.53,0.31,1.02,0.74,0.73,0.67,0.41,4.0,2.94
HD120620,5000.0,3.3,-0.14,0.18,0.12,0.18,0.2,0.2,0.14,0.2,0.03,0.07,1.31,1.26,2.01,1.71,1.39,1.54,0.42,2.0,1.19
HD122687,5000.0,2.6,-0.07,0.13,0.1,0.0,-0.01,0.11,0.1,0.02,0.03,0.01,1.02,0.71,1.57,1.11,0.97,1.08,0.35,3.0,2.06
HD123396,4600.0,1.9,-1.04,0.13,0.07,0.44,0.28,0.36,0.3,0.14,-0.03,0.04,0.6,0.73,1.55,1.29,1.25,1.08,0.7,1.0,2.14
HD123701,5000.0,2.5,-0.44,0.09,0.31,0.31,0.2,0.14,0.23,0.17,0.05,0.08,0.72,0.94,1.56,1.2,1.14,1.11,0.47,3.0,2.16
HD12392,4900.0,3.0,-0.08,0.18,-0.07,-0.02,0.08,0.08,-0.02,-0.09,0.02,-0.02,1.15,0.83,2.02,1.45,1.44,1.38,0.65,1.5,1.33
HD123949,4600.0,2.2,-0.09,0.18,0.22,0.21,0.25,0.0,0.16,0.16,0.1,0.03,1.22,1.02,2.5,1.48,1.51,1.55,0.71,3.0,2.32
HD126313,4900.0,2.2,-0.1,0.16,0.09,0.0,0.04,0.17,0.23,0.01,-0.01,-0.04,0.81,0.7,1.58,1.13,0.93,1.03,0.46,4.0,2.55
HD130255,4400.0,1.5,-1.11,0.11,0.06,0.6,0.41,0.58,0.44,0.19,-0.02,0.05,0.32,0.36,0.39,0.51,0.36,0.39,0.08,1.0,2.46
HD131670,4700.0,2.2,-0.04,0.15,0.26,-0.01,0.11,0.18,0.13,-0.04,0.01,0.07,0.64,0.58,1.13,0.64,0.45,0.69,0.13,3.0,2.35
HD134698,4500.0,1.7,-0.52,0.12,0.28,0.38,0.39,0.31,0.22,0.21,0.02,0.06,0.56,0.59,0.65,0.53,0.4,0.55,-0.05,1.5,2.49
HD136636,4900.0,2.5,-0.04,0.18,0.09,0.25,0.07,0.12,0.01,0.02,-0.02,0.0,1.01,0.8,1.75,1.05,1.08,1.14,0.39,3.0,2.12
HD139266,4300.0,1.5,-0.27,0.18,0.24,0.2,0.26,0.26,0.21,-0.02,-0.02,0.09,0.95,0.61,1.65,0.92,0.94,1.01,0.39,2.0,2.72
HD139409,4700.0,2.1,-0.51,0.13,0.17,0.45,0.31,0.41,0.33,0.24,-0.03,0.08,0.68,0.47,0.62,0.48,0.28,0.51,-0.12,1.5,2.16
HD142491,4800.0,2.0,0.02,0.1,0.14,-0.07,-0.01,0.18,0.09,-0.04,-0.05,0.03,0.06,-0.02,0.31,0.27,0.2,0.16,0.24,4.0,2.7
HD142751,4600.0,2.0,-0.1,0.13,0.11,-0.13,0.06,0.1,0.03,0.01,-0.01,0.01,0.81,0.63,1.06,0.67,0.6,0.75,0.06,4.0,2.64
